date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:01:05	525140/525140	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Apr%202021%2015:01:05%20GMT	https://www.reservhotel.com/los-cabos-mexico/grand-solmar-lands-end-resort-and-spa/booking-engine/ibe5_extras.main?hotel=34004&hotel_adults=2&air_adults=2&hotel_children=0&air_children=0&hotel_infants=0&air_infants=0&aDate=17-MAY-21&dDate=24-MAY-21&rooms=1&room=STU&rate=26&s=68818067&PC=&lang=1&rategroup=&flight_opt=&amenities=&currency=&agent=&usr=DIEGO&m=N&airline=&sub_source=&view_type=&PCC=&AirportDep=&hide_agent_info=&callc_num=&stops=&fareclass=E&call_center_country=&chat=Y&airport=MIA&airportTo=SJD&source=FL&r=https%3A%2F%2Fwww.reservhotel.com%2Flos-cabos-mexico%2Fgrand-solmar-lands-end-resort-and-spa%2Fbooking-engine%2Fibe5.main%3Fhotel%3D34004_	C:/Users/hecto/Desktop/reservhotel/www.reservhotel.com/los-cabos-mexico/grand-solmar-lands-end-resort-and-spa/booking-engine/ibe5_extras92ba.html	(from )
10:01:05	194/194	---MCZ	200	added ('OK')	text/plain	etag:W/%22123ce7-28d-59aee0ac30440%22	https://www.reservhotel.com/robots.txt		(from )
10:01:06	150996/150996	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:02%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.6/css/bootstrap.min.css	C:/Users/hecto/Desktop/reservhotel/maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.6/css/bootstrap.min.css	(from https://www.reservhotel.com/los-cabos-mexico/grand-solmar-lands-end-resort-and-spa/booking-engine/ibe5_extras.main?hotel=34004&hotel_adults=2&air_adults=2&hotel_children=0&air_children=0&hotel_infants=0&air_infants=0&aDate=17-MAY-21&dDate=24-MAY-21&rooms=1&room=STU&rate=26&s=68818067&PC=&lang=1&rategroup=&flight_opt=&amenities=&currency=&agent=&usr=DIEGO&m=N&airline=&sub_source=&view_type=&PCC=&AirportDep=&hide_agent_info=&callc_num=&stops=&fareclass=E&call_center_country=&chat=Y&airport=MIA&airportTo=SJD&source=FL&r=https%3A%2F%2Fwww.reservhotel.com%2Flos-cabos-mexico%2Fgrand-solmar-lands-end-resort-and-spa%2Fbooking-engine%2Fibe5.main%3Fhotel%3D34004_)
10:01:06	19625/19625	---MCZ	200	added ('OK')	text/css	etag:W/%2215746e-6b7d-58ee3e0099cc0%22	https://www.reservhotel.com/ibe5/assets/css/extras.css	C:/Users/hecto/Desktop/reservhotel/www.reservhotel.com/ibe5/assets/css/extras.css	(from https://www.reservhotel.com/los-cabos-mexico/grand-solmar-lands-end-resort-and-spa/booking-engine/ibe5_extras.main?hotel=34004&hotel_adults=2&air_adults=2&hotel_children=0&air_children=0&hotel_infants=0&air_infants=0&aDate=17-MAY-21&dDate=24-MAY-21&rooms=1&room=STU&rate=26&s=68818067&PC=&lang=1&rategroup=&flight_opt=&amenities=&currency=&agent=&usr=DIEGO&m=N&airline=&sub_source=&view_type=&PCC=&AirportDep=&hide_agent_info=&callc_num=&stops=&fareclass=E&call_center_country=&chat=Y&airport=MIA&airportTo=SJD&source=FL&r=https%3A%2F%2Fwww.reservhotel.com%2Flos-cabos-mexico%2Fgrand-solmar-lands-end-resort-and-spa%2Fbooking-engine%2Fibe5.main%3Fhotel%3D34004_)
10:01:06	3087/3087	---MCZ	200	added ('OK')	text/css	etag:W/%22157480-111c-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/css/modal_index.css	C:/Users/hecto/Desktop/reservhotel/www.reservhotel.com/ibe5/assets/css/modal_index.css	(from https://www.reservhotel.com/los-cabos-mexico/grand-solmar-lands-end-resort-and-spa/booking-engine/ibe5_extras.main?hotel=34004&hotel_adults=2&air_adults=2&hotel_children=0&air_children=0&hotel_infants=0&air_infants=0&aDate=17-MAY-21&dDate=24-MAY-21&rooms=1&room=STU&rate=26&s=68818067&PC=&lang=1&rategroup=&flight_opt=&amenities=&currency=&agent=&usr=DIEGO&m=N&airline=&sub_source=&view_type=&PCC=&AirportDep=&hide_agent_info=&callc_num=&stops=&fareclass=E&call_center_country=&chat=Y&airport=MIA&airportTo=SJD&source=FL&r=https%3A%2F%2Fwww.reservhotel.com%2Flos-cabos-mexico%2Fgrand-solmar-lands-end-resort-and-spa%2Fbooking-engine%2Fibe5.main%3Fhotel%3D34004_)
10:01:06	3606/3606	---MCZ	200	added ('OK')	text/css	etag:W/%2215747f-1332-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/css/jquery.fancybox.css	C:/Users/hecto/Desktop/reservhotel/www.reservhotel.com/ibe5/assets/css/jquery.fancybox.css	(from https://www.reservhotel.com/los-cabos-mexico/grand-solmar-lands-end-resort-and-spa/booking-engine/ibe5_extras.main?hotel=34004&hotel_adults=2&air_adults=2&hotel_children=0&air_children=0&hotel_infants=0&air_infants=0&aDate=17-MAY-21&dDate=24-MAY-21&rooms=1&room=STU&rate=26&s=68818067&PC=&lang=1&rategroup=&flight_opt=&amenities=&currency=&agent=&usr=DIEGO&m=N&airline=&sub_source=&view_type=&PCC=&AirportDep=&hide_agent_info=&callc_num=&stops=&fareclass=E&call_center_country=&chat=Y&airport=MIA&airportTo=SJD&source=FL&r=https%3A%2F%2Fwww.reservhotel.com%2Flos-cabos-mexico%2Fgrand-solmar-lands-end-resort-and-spa%2Fbooking-engine%2Fibe5.main%3Fhotel%3D34004_)
10:01:07	31004/31004	---MCZ	200	added ('OK')	text/css	etag:W/%2213bf44-791c-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/css/font_awesome/css/font-awesome.min.css	C:/Users/hecto/Desktop/reservhotel/www.reservhotel.com/ibe5/assets/css/font_awesome/css/font-awesome.min.css	(from https://www.reservhotel.com/los-cabos-mexico/grand-solmar-lands-end-resort-and-spa/booking-engine/ibe5_extras.main?hotel=34004&hotel_adults=2&air_adults=2&hotel_children=0&air_children=0&hotel_infants=0&air_infants=0&aDate=17-MAY-21&dDate=24-MAY-21&rooms=1&room=STU&rate=26&s=68818067&PC=&lang=1&rategroup=&flight_opt=&amenities=&currency=&agent=&usr=DIEGO&m=N&airline=&sub_source=&view_type=&PCC=&AirportDep=&hide_agent_info=&callc_num=&stops=&fareclass=E&call_center_country=&chat=Y&airport=MIA&airportTo=SJD&source=FL&r=https%3A%2F%2Fwww.reservhotel.com%2Flos-cabos-mexico%2Fgrand-solmar-lands-end-resort-and-spa%2Fbooking-engine%2Fibe5.main%3Fhotel%3D34004_)
10:01:07	89475/89475	---MCZ	200	added ('OK')	application/javascript	etag:W/%221adf30-15d83-5ba6fbd806dc0%22	https://www.reservhotel.com/ibe5/assets/js/jquery-3.5.1.min.js	C:/Users/hecto/Desktop/reservhotel/www.reservhotel.com/ibe5/assets/js/jquery-3.5.1.min.js	(from https://www.reservhotel.com/los-cabos-mexico/grand-solmar-lands-end-resort-and-spa/booking-engine/ibe5_extras.main?hotel=34004&hotel_adults=2&air_adults=2&hotel_children=0&air_children=0&hotel_infants=0&air_infants=0&aDate=17-MAY-21&dDate=24-MAY-21&rooms=1&room=STU&rate=26&s=68818067&PC=&lang=1&rategroup=&flight_opt=&amenities=&currency=&agent=&usr=DIEGO&m=N&airline=&sub_source=&view_type=&PCC=&AirportDep=&hide_agent_info=&callc_num=&stops=&fareclass=E&call_center_country=&chat=Y&airport=MIA&airportTo=SJD&source=FL&r=https%3A%2F%2Fwww.reservhotel.com%2Flos-cabos-mexico%2Fgrand-solmar-lands-end-resort-and-spa%2Fbooking-engine%2Fibe5.main%3Fhotel%3D34004_)
10:01:08	25045/25045	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ffc-61d5%22	https://cdnjs.cloudflare.com/ajax/libs/tether/1.4.3/js/tether.min.js	C:/Users/hecto/Desktop/reservhotel/cdnjs.cloudflare.com/ajax/libs/tether/1.4.3/js/tether.min.js	(from https://www.reservhotel.com/los-cabos-mexico/grand-solmar-lands-end-resort-and-spa/booking-engine/ibe5_extras.main?hotel=34004&hotel_adults=2&air_adults=2&hotel_children=0&air_children=0&hotel_infants=0&air_infants=0&aDate=17-MAY-21&dDate=24-MAY-21&rooms=1&room=STU&rate=26&s=68818067&PC=&lang=1&rategroup=&flight_opt=&amenities=&currency=&agent=&usr=DIEGO&m=N&airline=&sub_source=&view_type=&PCC=&AirportDep=&hide_agent_info=&callc_num=&stops=&fareclass=E&call_center_country=&chat=Y&airport=MIA&airportTo=SJD&source=FL&r=https%3A%2F%2Fwww.reservhotel.com%2Flos-cabos-mexico%2Fgrand-solmar-lands-end-resort-and-spa%2Fbooking-engine%2Fibe5.main%3Fhotel%3D34004_)
10:01:08	46653/46653	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:02%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.6/js/bootstrap.min.js	C:/Users/hecto/Desktop/reservhotel/maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.6/js/bootstrap.min.js	(from https://www.reservhotel.com/los-cabos-mexico/grand-solmar-lands-end-resort-and-spa/booking-engine/ibe5_extras.main?hotel=34004&hotel_adults=2&air_adults=2&hotel_children=0&air_children=0&hotel_infants=0&air_infants=0&aDate=17-MAY-21&dDate=24-MAY-21&rooms=1&room=STU&rate=26&s=68818067&PC=&lang=1&rategroup=&flight_opt=&amenities=&currency=&agent=&usr=DIEGO&m=N&airline=&sub_source=&view_type=&PCC=&AirportDep=&hide_agent_info=&callc_num=&stops=&fareclass=E&call_center_country=&chat=Y&airport=MIA&airportTo=SJD&source=FL&r=https%3A%2F%2Fwww.reservhotel.com%2Flos-cabos-mexico%2Fgrand-solmar-lands-end-resort-and-spa%2Fbooking-engine%2Fibe5.main%3Fhotel%3D34004_)
